ProjectName,FilePath,ExceptionType,InvokedMethods,ThrowException,IsCustomerExceptionThrown
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\CalibratorPlaningTaskServiceImpl.java,Exception,add|error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\CalibratorPlaningTaskServiceImpl.java,Exception,add|error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\CalibratorPlaningTaskServiceImpl.java,Exception,add|error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\CalibratorPlaningTaskServiceImpl.java,Exception,add|error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\CalibratorPlaningTaskServiceImpl.java,Exception,add|error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\CalibratorPlaningTaskServiceImpl.java,Exception,add|error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\CalibratorPlaningTaskServiceImpl.java,Exception,add|error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\CalibratorPlaningTaskServiceImpl.java,Exception,add|error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\CalibratorPlaningTaskServiceImpl.java,Exception,add|error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\CalibratorPlaningTaskServiceImpl.java,Exception,add|error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\CalibratorPlaningTaskServiceImpl.java,Exception,add|error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\CalibratorPlaningTaskServiceImpl.java,Exception,add|error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\CalibratorPlaningTaskServiceImpl.java,Exception,add|error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\CalibratorPlaningTaskServiceImpl.java,Exception,add|error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\CalibratorPlaningTaskServiceImpl.java,Exception,add|error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\CalibratorPlaningTaskServiceImpl.java,Exception,add|error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\CalibratorPlaningTaskServiceImpl.java,Exception,add|error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\CalibratorPlaningTaskServiceImpl.java,Exception,add|error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\CalibratorPlaningTaskServiceImpl.java,Exception,add|error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\CalibratorPlaningTaskServiceImpl.java,Exception,add|error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\calibrator\impl\CalibratorPlaningTaskServiceImpl.java,Exception,add|error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\provider\impl\ProviderEmployeeServiceImpl.java,ParseException,error|getMessage,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\provider\impl\ProviderEmployeeServiceImpl.java,ParseException,error|getMessage,,
